Timestamp,Mode,"During the experiment, I felt... [Confident]","During the experiment, I felt... [Creative]","During the experiment, I felt... [Confused]","During the experiment, I felt... [Guided towards a good solution]","During the experiment, I felt... [Productive]","During the experiment, I felt... [Slowed down]","I found the tool...
 [Easy-to-use]","I found the tool...
 [Good fit for the purpose]","I found the tool...
 [Intuitive]","I found the tool...
 [Slow]","I found the tool...
 [Visually appealing]",I found the recommendations.... [Complete],I found the recommendations.... [Confusing],I found the recommendations.... [Correct],I found the recommendations.... [Credible],I found the recommendations.... [Inconsistent],I found the recommendations.... [Intuitive],I found the recommendations.... [Stimulating (they gave me ideas I did not have)],I found the recommendations.... [Useful],I found the recommendations.... [Well-timed (they appeared right when I expected them)],"During the experiment, I felt... [Confident]","During the experiment, I felt... [Creative]","During the experiment, I felt... [Confused]","During the experiment, I felt... [Guided towards a good solution]","During the experiment, I felt... [Productive]","During the experiment, I felt... [Slowed down]","I found the tool...
 [Easy-to-use]","I found the tool...
 [Good fit for the purpose]","I found the tool...
 [Intuitive]","I found the tool...
 [Slow]","I found the tool...
 [Visually appealing]",I found the recommendations.... [Complete],I found the recommendations.... [Confusing],I found the recommendations.... [Correct],I found the recommendations.... [Credible],I found the recommendations.... [Inconsistent],I found the recommendations.... [Intuitive],I found the recommendations.... [Useful],"During the experiment, I felt... [Confident]","During the experiment, I felt... [Creative]","During the experiment, I felt... [Confused]","During the experiment, I felt... [Guided towards a good solution]","During the experiment, I felt... [Productive]","During the experiment, I felt... [Slowed down]",I found the recommendations.... [Complete],I found the recommendations.... [Confusing],I found the recommendations.... [Correct],I found the recommendations.... [Credible],I found the recommendations.... [Inconsistent],I found the recommendations.... [Intuitive],I found the recommendations.... [Stimulating (they gave me ideas I didn't have)],I found the recommendations.... [Useful],I found the recommendations.... [Well-timed (they appeared right when I expected them)],"I found the tool...
 [Easy-to-use]","I found the tool...
 [Good fit for the purpose]","I found the tool...
 [Intuitive]","I found the tool...
 [Slow]","I found the tool...
 [Visually appealing]","Which features would you improve, and how?",What features did you miss?,Do you have any other remarks?,UserID
5/1/2023 14:14:25,Automatic Suggestions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,2,4,4,2,5,2,4,4,2,5,4,4,5,5,5,5,1,4,Readibility for associations,Recommending attributes,None,
5/1/2023 16:08:00,Automatic Suggestions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,2,4,4,1,3,2,4,3,2,4,5,4,5,4,4,4,2,3,,Add attribute suggestions even if it was me who created the class,,
5/2/2023 14:23:53,Automatic Suggestions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,2,3,2,3,2,3,3,1,2,4,4,3,3,3,3,3,3,"Association recommendation should give better names, and less recommemdations",There should be a decline button,Very useful and helpful tool,
5/3/2023 9:57:56,Automatic Suggestions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,3,3,2,2,2,2,2,1,3,1,3,2,4,4,4,1,4,Relation between classes as it suggest all possible association/composition ,Attributes suggestion,,
5/3/2023 11:41:59,Automatic Suggestions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,2,4,4,1,4,2,4,4,1,2,4,4,3,5,4,4,1,4,Association suggestions could be improved ,Missing attributes suggesting ,"I really liked how the association arrow flips, the suggestions are simulating ",
5/3/2023 15:02:24,Automatic Suggestions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,1,3,3,1,4,1,2,3,1,3,3,3,3,4,4,4,1,3,"In terms of classes recommandations, the naming of some classes did not fit in well with the theme. However, for a recommended class with a score of 2, the generated attributes were suitable for the context. ",It would be interesting to have recommendations for attributes as well in the automatic mode ,,
5/5/2023 11:01:44,Automatic Suggestions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,1,3,4,1,3,1,3,4,1,3,2,3,3,3,3,3,2,3,Selecring associations is difficult since i needed to scroll to reach the accept button. Also I ran into a network-related problem during my experiment.,"I think conceptually, the suggestions are good, but in certajn cases, there were suggested classes that I would put as attributes instead. This is a design decision, of course, but maybe you can specify that the tool is meant to design models with more classes and attributes (?).",No,
5/5/2023 13:44:12,Automatic Suggestions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,3,3,4,3,4,3,4,4,2,4,4,4,4,2,4,4,3,3,"When recommendations increase, it’s difficult to choose from them. Perhaps filtering some out? Also, I can’t navigate through the recommendations, can’t sort or search which slows me down",,,
5/5/2023 15:23:52,Automatic Suggestions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,2,4,3,1,3,2,3,3,4,3,4,2,2,4,4,3,1,2,Better UX feedback (e.g. double clicking to let a user know he's typing),Inferring the association cardinality ,,
5/5/2023 17:25:56,Automatic Suggestions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,5,3,4,2,1,2,2,2,3,4,4,4,4,5,4,4,1,5,"to have more accurate results, it is better to have the model prepare all the classes rather than suggesting classes that depend on the presence of prevous classes ",,no,
5/6/2023 10:20:56,Automatic Suggestions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,2,1,3,1,2,2,2,2,4,3,1,2,1,5,5,5,3,4,Refuse the suggestion and retrain ,,,
5/8/2023 11:17:19,Automatic Suggestions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,2,4,5,2,4,3,4,4,3,4,5,5,4,4,5,4,2,3,Suggestions: visual suggestions instead of text which are more intuitive,attributes and types recommendation,"The list of recommendation gets long, so after some time it becomes difficult to use, otherwise, great tool! ",
5/8/2023 15:11:04,Automatic Suggestions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,3,4,3,3,4,3,3,2,3,3,4,4,3,4,4,3,4,3,,,,
5/8/2023 16:43:58,Automatic Suggestions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,2,5,5,1,5,1,5,5,1,5,5,5,5,5,5,5,2,4,Again a pop-up indicating that the tool is processing or preparing the predictions,,Great tool !,
5/10/2023 14:44:23,Automatic Suggestions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,1,4,4,2,4,2,4,4,2,3,4,5,4,5,4,5,2,3,The suggestions could be better.,It would be good to disregard suggestions. And having attribute suggestions would also be helpful. Or refactoring suggestions.,It’s much more interesting to play around and dialogue with the suggestions.,
5/1/2023 14:53:52,Completion at the end,,,,,,,,,,,,,,,,,,,,,5,5,2,5,5,5,5,5,5,3,5,5,1,4,4,1,5,5,,,,,,,,,,,,,,,,,,,,,None,Name for association recommendations ,None,
5/1/2023 16:41:47,Completion at the end,,,,,,,,,,,,,,,,,,,,,4,3,2,4,4,2,4,4,3,2,3,3,2,3,3,3,4,4,,,,,,,,,,,,,,,,,,,,,The suggestions at the end shouldn’t obstruct the classes view ,,,
5/2/2023 14:48:09,Completion at the end,,,,,,,,,,,,,,,,,,,,,3,2,1,2,3,1,4,4,4,1,4,3,2,3,3,1,2,4,,,,,,,,,,,,,,,,,,,,,,,Very useful as a final check at the end. Can be combined with a textual description of the system and the tool should check the modeled version with regard to the provided description,
5/3/2023 9:40:12,Completion at the end,,,,,,,,,,,,,,,,,,,,,1,1,3,2,3,1,4,2,3,3,4,2,3,3,3,1,3,4,,,,,,,,,,,,,,,,,,,,,Association prediction ,-,The tool is very easy to use but quite slow. I found it confusing as I can't edit after starting prediction for end mode,
5/3/2023 11:22:18,Completion at the end,,,,,,,,,,,,,,,,,,,,,5,5,2,4,5,1,4,4,4,2,3,3,2,4,4,2,5,5,,,,,,,,,,,,,,,,,,,,,Add bounds to associations,Aggregation and Enum,I enjoyed the tool ! It makes designing UML faster,
5/3/2023 14:37:02,Completion at the end,,,,,,,,,,,,,,,,,,,,,4,4,1,4,3,1,4,4,4,3,3,3,1,3,3,1,2,3,,,,,,,,,,,,,,,,,,,,,The transition is a bit slow for the suggested relationships to show.,,The relationships suggestions were good. The labels associated with the relationships between classes help significantly in the selection. ,
5/5/2023 10:38:56,Completion at the end,,,,,,,,,,,,,,,,,,,,,2,3,1,3,2,1,4,2,3,2,3,2,1,3,4,1,3,3,,,,,,,,,,,,,,,,,,,,,"There is a bug where it suggest duplicate associations. Also, when I click on okay to move on to the next suggestions, it was still making suggestions for the current artifact.",Nothing that i can think of.,No.,
5/5/2023 13:28:32,Completion at the end,,,,,,,,,,,,,,,,,,,,,5,5,1,4,4,1,4,4,4,3,3,4,1,3,3,2,5,4,,,,,,,,,,,,,,,,,,,,,As the user you have to resize the class at the beginning to be able to see the attributes. Auto resizing of classes and arrangement of the nodes would be nice to have ,Nothing ,No merci,
5/5/2023 15:50:22,Completion at the end,,,,,,,,,,,,,,,,,,,,,4,3,1,2,4,1,4,2,3,3,2,3,4,2,2,3,2,3,,,,,,,,,,,,,,,,,,,,,Do not open a recommendation GUI when there are no recommendations,Prediction de l'association,,
5/5/2023 16:59:30,Completion at the end,,,,,,,,,,,,,,,,,,,,,5,3,2,5,5,4,5,5,3,1,5,2,3,4,4,2,3,4,,,,,,,,,,,,,,,,,,,,,include a user feedback on the suggestions (the model may suggest a class/attribute that i already added but with another name/form ,adding methods to the canvas,no,
5/6/2023 10:10:09,Completion at the end,,,,,,,,,,,,,,,,,,,,,5,3,2,2,3,3,5,5,4,3,4,2,4,2,2,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,
5/8/2023 11:59:20,Completion at the end,,,,,,,,,,,,,,,,,,,,,5,5,1,4,4,1,5,5,5,2,3,4,2,4,4,2,5,5,,,,,,,,,,,,,,,,,,,,,"recommend a long list of associations or concept may ""empêche"" users from going through suggestions.",,,
5/8/2023 14:54:28,Completion at the end,,,,,,,,,,,,,,,,,,,,,4,3,1,3,4,2,4,4,3,3,3,4,2,4,3,1,3,5,,,,,,,,,,,,,,,,,,,,,"Usability: There are no indications of any task in progress. 
Performance: It takes a bit of too long to display the next set of recommendation.",Replace the button caption (Cancel -> Done),,
5/8/2023 16:19:19,Completion at the end,,,,,,,,,,,,,,,,,,,,,5,4,1,5,4,1,5,5,4,1,4,5,1,5,5,1,5,5,,,,,,,,,,,,,,,,,,,,,Very cool tool !! Thank you!! It's just a little bit slow at the end so maybe showing a message to the usage telling it's processing the results.,Putting some on_hover discriptions here and there.,Great tool thank you !!,
5/10/2023 14:31:26,Completion at the end,,,,,,,,,,,,,,,,,,,,,4,4,1,1,4,2,5,3,2,5,2,2,3,1,3,3,2,3,,,,,,,,,,,,,,,,,,,,,The recommendations could be better. And it’s very slow for the associations.,Iterating on the solution with the tool.,"It feels better to have a dialog with the machine, instead of receiving the suggestions at the end.",
5/1/2023 14:34:01,On request Suggestions,3,3,4,3,3,4,5,3,4,3,3,3,4,3,3,4,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Better recommendations,None,Switch boxes type and name,
5/1/2023 16:24:11,On request Suggestions,4,4,2,5,4,1,4,4,4,2,4,4,1,3,3,2,4,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Auto-resize the class when adding attributes,,,
5/2/2023 14:40:19,On request Suggestions,3,2,2,2,3,2,3,3,3,1,3,2,2,3,3,2,3,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Association recommendation should be improved, if it is meaningless, the tool should not propose it",,"This mode is very handy, it can speed things up",
5/3/2023 10:13:36,On request Suggestions,3,3,1,4,4,1,4,4,4,3,4,3,1,3,3,1,4,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Association, inheritance and composition direction",,,
5/3/2023 11:55:16,On request Suggestions,5,5,1,4,5,1,5,5,5,1,5,4,1,4,4,1,4,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Improve inheritance as most of the time the suggestion with inheritance is wrong,Select two class to create association ,This is the best mode out of three!,
5/3/2023 14:16:02,On request Suggestions,3,4,1,3,3,1,4,4,3,1,3,4,1,3,3,1,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The associations were very intuitive and useful,
5/5/2023 11:17:58,On request Suggestions,4,4,1,3,4,1,2,2,3,3,3,2,1,2,4,1,3,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,See other remarks.,None,"The domain was very simple, so having to request suggestions myself was taking more time than if I were to add the model components myself (particularly for associations). From my experience, it seems like the tool would be most useful for more complex domains where users would lack ideas, or would miss some concepts easily.",
5/5/2023 13:08:02,On request Suggestions,5,5,4,4,5,4,4,4,4,3,3,2,4,2,2,4,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not having to define a class exactly named as the concept. For instance, for a hotel management system, necessarily I don’t define a hotel class which seems to affect the functionality and suggestions of the tool",Relationship recommendations ,Good job,
5/5/2023 15:36:27,On request Suggestions,4,4,2,4,3,1,4,4,3,2,2,4,3,3,4,2,3,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I would make the association suggestion a bit easier to read. ,Generating more than 1 class for a specific domain concept,,
5/5/2023 17:43:29,On request Suggestions,5,5,2,5,5,1,5,5,5,1,5,2,3,4,4,3,5,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,improve attribute recommendation ,N/A,no,
5/6/2023 9:55:01,On request Suggestions,4,3,3,5,4,3,5,3,4,2,4,5,1,5,3,1,1,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"suggestion of cardinality, ",Cardinality,,
5/8/2023 11:35:24,On request Suggestions,5,3,1,3,3,1,4,5,5,1,4,4,1,4,4,1,4,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Visual recommendation + recommendations still available (accessible) after requesting them,,Automatic mode is better as we don't have to do extra clicks to get the recommendations,
5/8/2023 14:33:31,On request Suggestions,4,3,1,4,4,3,4,4,4,1,3,3,2,3,2,3,2,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adding shortcuts to retrieve the suggestions
Adding a score to each suggestion","Adding the notion of multiplicity, abstract class. Adding a way to control the font.",,
5/8/2023 16:56:42,On request Suggestions,5,5,1,5,5,1,5,5,5,1,4,5,1,5,5,1,5,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/10/2023 14:18:06,On request Suggestions,3,3,1,2,3,4,4,3,3,3,3,2,3,2,2,4,2,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The suggestions were not relevant to what I wanted to model.,More suggestions would have been useful. Often only one or two appeared.,"I fought with the layouting of the editor a lot (resizing, zooming).",
average,,4,3.733333333,1.8,3.733333333,3.866666667,1.933333333,4.133333333,3.866666667,3.933333333,1.866666667,3.533333333,3.266666667,1.933333333,3.266666667,3.266666667,2.066666667,3.2,3.2,3.666666667,3.466666667,4.066666667,3.533333333,1.466666667,3.333333333,3.8,1.8,4.4,3.866666667,3.6,2.466666667,3.4,3.133333333,2.133333333,3.2,3.333333333,1.866666667,3.533333333,4.066666667,4.133333333,3.6,2.2,3.4,3.733333333,1.666666667,3.4,2,3.266666667,3.266666667,2.066666667,3.4,3.6,3.733333333,3.4,4.133333333,4.133333333,4,1.933333333,3.4,,,,
%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,